Source Port,Destination Port,Protocol,Destination Port.1,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1900,52097,17,52097,3037224.531173706,0,4,0,848,0,0,0,0,212.0,212.0,212.0,0.0,279.20227539855233,1.316991865087511,1012408.1770579021,526.5911863814506,1012980.2227020264,1011709.2132568359,0.0,0.0,0.0,0.0,0.0,3037224.531173706,1012408.1770579021,526.5911863814506,1012980.2227020264,1011709.2132568359,0,0,0,0,0,80,0.0,1.316991865087511,212.0,212.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,212.0,0.0,212.0,0,0,0,0,0,0,0,0,0,4,848,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,56008,6,56008,43020.24841308594,1,1,66,55,66.0,66.0,66.0,0.0,55.0,55.0,55.0,0.0,2812.629040124141,46.48973620039902,43020.24841308594,0.0,43020.24841308594,43020.24841308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,23.24486810019951,23.24486810019951,55.0,66.0,60.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,60.5,66.0,55.0,20,0,0,0,0,0,0,1,66,1,55,7522,511,1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,57596,17,57596,23194.074630737305,1,1,192,80,192.0,192.0,192.0,0.0,80.0,80.0,80.0,0.0,11727.13308594513,86.22891974959654,23194.074630737305,0.0,23194.074630737305,23194.074630737305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,43.11445987479827,43.11445987479827,80.0,192.0,136.0,56.0,3136.0,0,0,0,0,0,0,0,0,1.0,136.0,192.0,80.0,20,0,0,0,0,0,0,1,192,1,80,0,0,1,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,58105,6,58105,1940961600.0652313,208,115,16728,18461,1304.0,54.0,80.42307692307692,123.69932469093791,1304.0,54.0,160.5304347826087,290.75683316174326,18.129673456093812,0.16641235972372906,6027831.0561032025,9162928.578530416,20685394.763946533,208.37783813476562,1940946713.6859894,9376554.172396084,9960555.069441546,20685394.763946533,267.7440643310547,1940947842.3595428,17025858.26631178,7099875.803514842,20700145.00617981,285.14862060546875,101,102,0,0,4160,2300,0.10716337715955307,0.059248982564175975,54.0,1304.0,108.94427244582043,203.52917954288387,41424.126925399454,2,2,0,203,322,0,0,0,0.5528846153846154,108.94427244582043,80.42307692307692,160.5304347826087,4160,0,0,0,0,0,0,208,16728,115,18461,18,512,204,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,59306,6,59306,41234317.54112244,22,17,6120,3700,1304.0,54.0,278.1818181818182,437.68914211340325,1304.0,54.0,217.64705882352942,300.52893394548266,238.1511465590923,0.9458141258456823,1085113.619503222,5046349.087980192,30015829.32472229,209.808349609375,41216954.946517944,1962712.1403103783,6664795.474395649,30031801.462173462,209.808349609375,41234317.54112244,2577144.8463201523,7530742.584039664,30030257.4634552,215.05355834960938,6,9,0,0,440,340,0.5335361735539746,0.41227795229170766,54.0,1304.0,251.7948717948718,385.14467341621247,148336.41946088095,2,2,0,15,38,0,0,0,0.7727272727272727,251.7948717948718,278.1818181818182,217.64705882352942,440,0,0,0,0,0,0,22,6120,17,3700,1046,511,18,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,59317,6,59317,4455180.406570435,15,9,7929,1967,1304.0,54.0,528.6,525.7059761248044,662.0,54.0,218.55555555555554,238.45013972695102,2221.2344050996285,5.386987239530223,193703.49593784497,816997.3571537975,4022797.107696533,293.731689453125,4366285.562515259,311877.54017966136,1050092.5533269208,4096016.4070129395,467.3004150390625,4455180.406570435,556897.5508213043,1310537.2591966512,4022797.107696533,293.731689453125,5,3,0,0,300,180,3.366867024706389,2.0201202148238333,54.0,1304.0,412.3333333333333,465.3826979546571,216581.0555555556,2,2,0,8,23,0,0,0,0.6,412.3333333333333,528.6,218.55555555555554,300,0,0,0,0,0,0,15,7929,9,1967,16386,512,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,59325,6,59325,5426978.826522827,17,15,5844,3447,1304.0,54.0,343.7647058823529,465.44141343735254,1304.0,54.0,229.8,343.14782043117606,1712.002257055594,5.896466712493705,175063.8331136396,362232.77834820776,1014282.2265625,209.0930938720703,5426192.52204895,339137.0326280594,456370.81740708125,1029249.906539917,214.57672119140625,5426978.826522827,387641.34475163056,466221.55001194915,1030512.3329162598,266.07513427734375,5,3,0,0,340,300,3.132497941012281,2.7639687714814243,54.0,1304.0,290.34375,416.5543639021652,173517.5380859375,2,2,0,8,31,0,0,0,0.8823529411764706,290.34375,343.7647058823529,229.8,340,0,0,0,0,0,0,17,5844,15,3447,16,508,13,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,59334,6,59334,354155.5404663086,12,13,5449,2816,1304.0,54.0,454.0833333333333,531.6624020205136,1304.0,54.0,216.6153846153846,331.84067967383163,23337.20373008329,70.59045290406318,14756.480852762857,51656.154029166806,260232.21015930176,210.76202392578125,336245.2983856201,30567.754398692738,73121.24784813584,260232.21015930176,245.80955505371094,354155.5404663086,29512.961705525715,76333.89396218481,281301.97525024414,256.7768096923828,5,6,0,0,240,260,33.88341739395033,36.70703551011285,54.0,1304.0,330.6,454.98993395458757,207015.83999999997,2,2,0,11,24,0,0,0,1.0833333333333333,330.6,454.0833333333333,216.6153846153846,240,0,0,0,0,0,0,12,5449,13,2816,1047,511,8,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,59299,6,59299,90354920.62568665,13,12,9637,2440,1304.0,54.0,741.3076923076923,574.2791313551792,987.0,54.0,203.33333333333334,272.5063709754732,133.66178528374112,0.2766866466915234,3764788.35940361,17747456.838258125,88873586.17782593,217.437744140625,90092493.05725098,7507707.754770915,24612922.24554041,89135222.19657898,313.75885009765625,90354920.62568665,8214083.693244241,25508145.470934566,88873586.17782593,273.4661102294922,3,4,0,0,260,240,0.14387705627959216,0.13280959041193122,54.0,1304.0,483.08,528.5614378669711,279377.1936,2,2,0,7,24,0,0,0,0.9230769230769231,483.08,741.3076923076923,203.33333333333334,260,0,0,0,0,0,0,13,9637,12,2440,16386,1022,9,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,59234,6,59234,238378095.1499939,27,27,8254,3522,3804.0,54.0,305.7037037037037,751.3079861057531,1304.0,54.0,130.44444444444446,247.83377543610473,49.40051220977424,0.22653088139672292,4497699.908490451,6831676.406221484,15797466.75491333,213.623046875,238362890.0051117,9167803.461735066,7250410.166146868,15797934.532165527,247.2400665283203,238362560.2722168,9167790.779700646,7250405.3160321675,15813396.453857422,213.623046875,5,4,0,0,540,540,0.11326544069836146,0.11326544069836146,54.0,3804.0,218.07407407407408,566.2345689779316,320621.587105624,2,2,2,9,51,0,0,0,1.0,218.07407407407408,305.7037037037037,130.44444444444446,540,0,0,0,0,0,0,27,8254,27,3522,0,508,23,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
